;;;;;;
;source;target;value;;;
;Agricultural 'waste';Bio-conversion;124729;;;
;Bio-conversion;Liquid;597;;;
;Bio-conversion;Losses;26862;;;
;Bio-conversion;Solid;280322;;;
;Bio-conversion;Gas;81144;;;
;Biofuel imports;Liquid;35.0;;;
;Biomass imports;Solid;35.0;;;
;Coal imports;Coal;11606;;;
;Coal reserves;Coal;63965;;;
;Coal;Solid;75571;;;
;District heating;Industry;10639;;;
;District heating;Heating and cooling - commercial;22505;;;
;District heating;Heating and cooling - homes;46184;;;
;Electricity grid;Over generation / exports;104453;;;
;Electricity grid;Heating and cooling - homes;113726;;;
;Electricity grid;H2 conversion;27.14;;;
;Electricity grid;Industry;342165;;;
;Electricity grid;Road transport;37797;;;
;Electricity grid;Agriculture;4412;;;
;Electricity grid;Heating and cooling - commercial;40858;;;
;Electricity grid;Losses;56691;;;
;Electricity grid;Rail transport;7863;;;
;Electricity grid;Lighting & appliances - commercial;90008;;;
;Electricity grid;Lighting & appliances - homes;93494;;;
;Gas imports;Ngas;40719;;;
;Gas reserves;Ngas;82233;;;
;Gas;Heating and cooling - commercial;129;;;
;Gas;Losses;1401;;;
;Gas;Thermal generation;151891;;;
;Gas;Agriculture;2096;;;
;Gas;Industry;48.58;;;
;Geothermal;Electricity grid;7013;;;
;H2 conversion;H2;20897;;;
;H2 conversion;Losses;6242;;;
;H2;Road transport;20897;;;
;Hydro;Electricity grid;6995;;;
;Liquid;Industry;121066;;;
;Liquid;International shipping;128.69;;;
;Liquid;Road transport;135835;;;
;Liquid;Domestic aviation;14458;;;
;Liquid;International aviation;206267;;;
;Liquid;Agriculture;3.64;;;
;Liquid;National navigation;33218;;;
;Liquid;Rail transport;4413;;;
;Marine algae;Bio-conversion;4375;;;
;Ngas;Gas;122952;;;
;Nuclear;Thermal generation;839978;;;
;Oil imports;Oil;504287;;;
;Oil reserves;Oil;107703;;;
;Oil;Liquid;611.99;;;
;Other waste;Solid;56587;;;
;Other waste;Bio-conversion;77.81;;;
;Pumped heat;Heating and cooling - homes;193026;;;
;Pumped heat;Heating and cooling - commercial;70672;;;
;Solar PV;Electricity grid;59901;;;
;Solar Thermal;Heating and cooling - homes;19263;;;
;Solar;Solar Thermal;19263;;;
;Solar;Solar PV;59901;;;
;Solid;Agriculture;882;;;
;Solid;Thermal generation;400.12;;;
;Solid;Industry;46477;;;
;Thermal generation;Electricity grid;525531;;;
;Thermal generation;Losses;787129;;;
;Thermal generation;District heating;79329;;;
;Tidal;Electricity grid;9452;;;
;UK land based bioenergy;Bio-conversion;182.01;;;
;Wave;Electricity grid;19013;;;
;Wind;Electricity grid;289366;;;